service_id,date,exception_type
3,20160101,1
3,20160102,1
3,20160103,1
3,20160104,1
3,20160105,1
3,20160106,1
3,20160107,1
3,20160108,1
3,20160109,1
3,20160110,1
3,20160111,1
3,20160112,1
3,20160113,1
3,20160114,1
3,20160115,1
3,20160116,1
3,20160117,1
3,20160118,1
3,20160119,1
3,20160120,1
3,20160121,1
3,20160122,1
3,20160123,1
3,20160124,1
3,20160125,1
3,20160126,1
3,20160127,1
3,20160128,1
3,20160129,1
3,20160130,1
3,20160131,1
3,20160201,1
3,20160202,1
3,20160203,1
3,20160204,1
3,20160205,1
3,20160206,1
3,20160207,1
3,20160208,1
3,20160209,1
3,20160210,1
3,20160211,1
3,20160212,1
3,20160213,1
3,20160214,1
3,20160215,1
3,20160216,1
3,20160217,1
3,20160218,1
3,20160219,1
3,20160220,1
3,20160221,1
3,20160222,1
3,20160223,1
3,20160224,1
3,20160225,1
3,20160226,1
3,20160227,1
3,20160228,1
3,20160229,1
3,20160301,1
3,20160302,1
3,20160303,1
3,20160304,1
3,20160305,1
3,20160306,1
3,20160307,1
3,20160308,1
3,20160309,1
3,20160310,1
3,20160311,1
3,20160312,1
3,20160313,1
3,20160314,1
3,20160315,1
3,20160316,1
3,20160317,1
3,20160318,1
3,20160319,1
3,20160320,1
3,20160321,1
3,20160322,1
3,20160323,1
3,20160324,1
3,20160325,1
3,20160326,1
3,20160327,1
3,20160328,1
3,20160329,1
3,20160330,1
3,20160331,1
3,20160401,1
3,20160402,1
3,20160403,1
3,20160404,1
3,20160405,1
3,20160406,1
3,20160407,1
3,20160408,1
3,20160409,1
3,20160410,1
3,20160411,1
3,20160412,1
3,20160413,1
3,20160414,1
3,20160415,1
3,20160416,1
3,20160417,1
3,20160418,1
3,20160419,1
3,20160420,1
3,20160421,1
3,20160422,1
3,20160423,1
3,20160424,1
3,20160425,1
3,20160426,1
3,20160427,1
3,20160428,1
3,20160429,1
3,20160430,1
3,20160501,1
3,20160502,1
3,20160503,1
3,20160504,1
3,20160505,1
3,20160506,1
3,20160507,1
3,20160508,1
3,20160509,1
3,20160510,1
3,20160511,1
3,20160512,1
3,20160513,1
3,20160514,1
3,20160515,1
3,20160516,1
3,20160517,1
3,20160518,1
3,20160519,1
3,20160520,1
3,20160521,1
3,20160522,1
3,20160523,1
3,20160524,1
3,20160525,1
3,20160526,1
3,20160527,1
3,20160528,1
3,20160529,1
3,20160530,1
3,20160531,1
3,20160601,1
3,20160602,1
3,20160603,1
3,20160604,1
3,20160605,1
3,20160606,1
3,20160607,1
3,20160608,1
3,20160609,1
3,20160610,1
3,20160611,1
3,20160612,1
3,20160613,1
3,20160614,1
3,20160615,1
3,20160616,1
3,20160617,1
3,20160618,1
3,20160619,1
3,20160620,1
3,20160621,1
3,20160622,1
3,20160623,1
3,20160624,1
3,20160625,1
3,20160626,1
3,20160627,1
3,20160628,1
3,20160629,1
3,20160630,1
3,20160701,1
3,20160702,1
3,20160703,1
3,20160704,1
3,20160705,1
3,20160706,1
3,20160707,1
3,20160708,1
3,20160709,1
3,20160710,1
3,20160711,1
3,20160712,1
3,20160713,1
3,20160714,1
3,20160715,1
3,20160716,1
3,20160717,1
3,20160718,1
3,20160719,1
3,20160720,1
3,20160721,1
3,20160722,1
3,20160723,1
3,20160724,1
3,20160725,1
3,20160726,1
3,20160727,1
3,20160728,1
3,20160729,1
3,20160730,1
3,20160731,1
3,20160801,1
3,20160802,1
3,20160803,1
3,20160804,1
3,20160805,1
3,20160806,1
3,20160807,1
3,20160808,1
3,20160809,1
3,20160810,1
3,20160811,1
3,20160812,1
3,20160813,1
3,20160814,1
3,20160815,1
3,20160816,1
3,20160817,1
3,20160818,1
3,20160819,1
3,20160820,1
3,20160821,1
3,20160822,1
3,20160823,1
3,20160824,1
3,20160825,1
3,20160826,1
3,20160827,1
3,20160828,1
3,20160829,1
3,20160830,1
3,20160831,1
3,20160901,1
3,20160902,1
3,20160903,1
3,20160904,1
3,20160905,1
3,20160906,1
3,20160907,1
3,20160908,1
3,20160909,1
3,20160910,1
3,20160911,1
3,20160912,1
3,20160913,1
3,20160914,1
3,20160915,1
3,20160916,1
3,20160917,1
3,20160918,1
3,20160919,1
3,20160920,1
3,20160921,1
3,20160922,1
3,20160923,1
3,20160924,1
3,20160925,1
3,20160926,1
3,20160927,1
3,20160928,1
3,20160929,1
3,20160930,1
3,20161001,1
3,20161002,1
3,20161003,1
3,20161004,1
3,20161005,1
3,20161006,1
3,20161007,1
3,20161008,1
3,20161009,1
3,20161010,1
3,20161011,1
3,20161012,1
3,20161013,1
3,20161014,1
3,20161015,1
3,20161016,1
3,20161017,1
3,20161018,1
3,20161019,1
3,20161020,1
3,20161021,1
3,20161022,1
3,20161023,1
3,20161024,1
3,20161025,1
3,20161026,1
3,20161027,1
3,20161028,1
3,20161029,1
3,20161030,1
3,20161031,1
3,20161101,1
3,20161102,1
3,20161103,1
3,20161104,1
3,20161105,1
3,20161106,1
3,20161107,1
3,20161108,1
3,20161109,1
3,20161110,1
3,20161111,1
3,20161112,1
3,20161113,1
3,20161114,1
3,20161115,1
3,20161116,1
3,20161117,1
3,20161118,1
3,20161119,1
3,20161120,1
3,20161121,1
3,20161122,1
3,20161123,1
3,20161124,1
3,20161125,1
3,20161126,1
3,20161127,1
3,20161128,1
3,20161129,1
3,20161130,1
3,20161201,1
3,20161202,1
3,20161203,1
3,20161204,1
3,20161205,1
3,20161206,1
3,20161207,1
3,20161208,1
3,20161209,1
3,20161210,1
3,20161211,1
3,20161212,1
3,20161213,1
3,20161214,1
3,20161215,1
3,20161216,1
3,20161217,1
3,20161218,1
3,20161219,1
3,20161220,1
3,20161221,1
3,20161222,1
3,20161223,1
3,20161224,1
3,20161225,1
3,20161226,1
3,20161227,1
3,20161228,1
3,20161229,1
3,20161230,1
3,20161231,1
2,20160101,1
2,20160102,1
2,20160103,1
2,20160104,1
2,20160105,1
2,20160106,1
2,20160107,1
2,20160108,1
2,20160109,1
2,20160110,1
2,20160111,1
2,20160112,1
2,20160113,1
2,20160114,1
2,20160115,1
2,20160116,1
2,20160117,1
2,20160118,1
2,20160119,1
2,20160120,1
2,20160121,1
2,20160122,1
2,20160123,1
2,20160124,1
2,20160125,1
2,20160126,1
2,20160127,1
2,20160128,1
2,20160129,1
2,20160130,1
2,20160131,1
2,20160201,1
2,20160202,1
2,20160203,1
2,20160204,1
2,20160205,1
2,20160206,1
2,20160207,1
2,20160208,1
2,20160209,1
2,20160210,1
2,20160211,1
2,20160212,1
2,20160213,1
2,20160214,1
2,20160215,1
2,20160216,1
2,20160217,1
2,20160218,1
2,20160219,1
2,20160220,1
2,20160221,1
2,20160222,1
2,20160223,1
2,20160224,1
2,20160225,1
2,20160226,1
2,20160227,1
2,20160228,1
2,20160229,1
2,20160301,1
2,20160302,1
2,20160303,1
2,20160304,1
2,20160305,1
2,20160306,1
2,20160307,1
2,20160308,1
2,20160309,1
2,20160310,1
2,20160311,1
2,20160312,1
2,20160313,1
2,20160314,1
2,20160315,1
2,20160316,1
2,20160317,1
2,20160318,1
2,20160319,1
2,20160320,1
2,20160321,1
2,20160322,1
2,20160323,1
2,20160324,1
2,20160325,1
2,20160326,1
2,20160327,1
2,20160328,1
2,20160329,1
2,20160330,1
2,20160331,1
2,20160401,1
2,20160402,1
2,20160403,1
2,20160404,1
2,20160405,1
2,20160406,1
2,20160407,1
2,20160408,1
2,20160409,1
2,20160410,1
2,20160411,1
2,20160412,1
2,20160413,1
2,20160414,1
2,20160415,1
2,20160416,1
2,20160417,1
2,20160418,1
2,20160419,1
2,20160420,1
2,20160421,1
2,20160422,1
2,20160423,1
2,20160424,1
2,20160425,1
2,20160426,1
2,20160427,1
2,20160428,1
2,20160429,1
2,20160430,1
2,20160501,1
2,20160502,1
2,20160503,1
2,20160504,1
2,20160505,1
2,20160506,1
2,20160507,1
2,20160508,1
2,20160509,1
2,20160510,1
2,20160511,1
2,20160512,1
2,20160513,1
2,20160514,1
2,20160515,1
2,20160516,1
2,20160517,1
2,20160518,1
2,20160519,1
2,20160520,1
2,20160521,1
2,20160522,1
2,20160523,1
2,20160524,1
2,20160525,1
2,20160526,1
2,20160527,1
2,20160528,1
2,20160529,1
2,20160530,1
2,20160531,1
2,20160601,1
2,20160602,1
2,20160603,1
2,20160604,1
2,20160605,1
2,20160606,1
2,20160607,1
2,20160608,1
2,20160609,1
2,20160610,1
2,20160611,1
2,20160612,1
2,20160613,1
2,20160614,1
2,20160615,1
2,20160616,1
2,20160617,1
2,20160618,1
2,20160619,1
2,20160620,1
2,20160621,1
2,20160622,1
2,20160623,1
2,20160624,1
2,20160625,1
2,20160626,1
2,20160627,1
2,20160628,1
2,20160629,1
2,20160630,1
2,20160701,1
2,20160702,1
2,20160703,1
2,20160704,1
2,20160705,1
2,20160706,1
2,20160707,1
2,20160708,1
2,20160709,1
2,20160710,1
2,20160711,1
2,20160712,1
2,20160713,1
2,20160714,1
2,20160715,1
2,20160716,1
2,20160717,1
2,20160718,1
2,20160719,1
2,20160720,1
2,20160721,1
2,20160722,1
2,20160723,1
2,20160724,1
2,20160725,1
2,20160726,1
2,20160727,1
2,20160728,1
2,20160729,1
2,20160730,1
2,20160731,1
2,20160801,1
2,20160802,1
2,20160803,1
2,20160804,1
2,20160805,1
2,20160806,1
2,20160807,1
2,20160808,1
2,20160809,1
2,20160810,1
2,20160811,1
2,20160812,1
2,20160813,1
2,20160814,1
2,20160815,1
2,20160816,1
2,20160817,1
2,20160818,1
2,20160819,1
2,20160820,1
2,20160821,1
2,20160822,1
2,20160823,1
2,20160824,1
2,20160825,1
2,20160826,1
2,20160827,1
2,20160828,1
2,20160829,1
2,20160830,1
2,20160831,1
2,20160901,1
2,20160902,1
2,20160903,1
2,20160904,1
2,20160905,1
2,20160906,1
2,20160907,1
2,20160908,1
2,20160909,1
2,20160910,1
2,20160911,1
2,20160912,1
2,20160913,1
2,20160914,1
2,20160915,1
2,20160916,1
2,20160917,1
2,20160918,1
2,20160919,1
2,20160920,1
2,20160921,1
2,20160922,1
2,20160923,1
2,20160924,1
2,20160925,1
2,20160926,1
2,20160927,1
2,20160928,1
2,20160929,1
2,20160930,1
2,20161001,1
2,20161002,1
2,20161003,1
2,20161004,1
2,20161005,1
2,20161006,1
2,20161007,1
2,20161008,1
2,20161009,1
2,20161010,1
2,20161011,1
2,20161012,1
2,20161013,1
2,20161014,1
2,20161015,1
2,20161016,1
2,20161017,1
2,20161018,1
2,20161019,1
2,20161020,1
2,20161021,1
2,20161022,1
2,20161023,1
2,20161024,1
2,20161025,1
2,20161026,1
2,20161027,1
2,20161028,1
2,20161029,1
2,20161030,1
2,20161031,1
2,20161101,1
2,20161102,1
2,20161103,1
2,20161104,1
2,20161105,1
2,20161106,1
2,20161107,1
2,20161108,1
2,20161109,1
2,20161110,1
2,20161111,1
2,20161112,1
2,20161113,1
2,20161114,1
2,20161115,1
2,20161116,1
2,20161117,1
2,20161118,1
2,20161119,1
2,20161120,1
2,20161121,1
2,20161122,1
2,20161123,1
2,20161124,1
2,20161125,1
2,20161126,1
2,20161127,1
2,20161128,1
2,20161129,1
2,20161130,1
2,20161201,1
2,20161202,1
2,20161203,1
2,20161204,1
2,20161205,1
2,20161206,1
2,20161207,1
2,20161208,1
2,20161209,1
2,20161210,1
2,20161211,1
2,20161212,1
2,20161213,1
2,20161214,1
2,20161215,1
2,20161216,1
2,20161217,1
2,20161218,1
